Name,Convoluted_Layers1,Convoluted_Filters1,Convoluted_Layers2,Convoluted_Filters2,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size
AdamW,21,2,22,1,63,16,0.004352728961803092,62
AdamW,30,1,20,1,57,17,0.005193086412040818,87
SGD,26,2,18,1,32,21,0.008782789900421632,41
Adadelta,29,2,17,1,41,18,0.0027234442488506426,77
Adamax,30,1,20,2,34,16,0.008161879912317536,46
RMSprop,20,2,30,1,61,22,0.0032719639237091835,57
Adadelta,18,1,22,2,44,26,0.006850950911902635,52
AdamW,24,2,28,2,60,29,0.006352010258945784,80
AdamW,16,2,30,2,52,30,0.007873686940581976,99
Nadam,28,1,29,1,35,30,0.0028160529803443433,76
Adamax,17,2,28,1,59,24,0.007379154261236787,88
Adagrad,30,2,24,2,52,28,0.004541601818981817,80
AdamW,21,1,26,2,46,21,0.008430283899760563,99
Adadelta,20,1,23,1,49,20,0.0068143617801346736,58
Adamax,18,1,26,1,56,22,0.0011921277180596244,91
Adamax,29,2,19,2,47,26,0.0007449852955258336,125
Adagrad,18,2,22,2,44,16,0.002899498578985013,85
AdamW,16,2,21,1,59,22,0.0023700088076259,77
RMSprop,27,1,19,1,44,29,0.006746668778714358,101
SGD,18,1,23,2,37,28,0.007345257390253657,118
Adadelta,31,2,24,2,49,23,0.0027609236062826966,44
Adamax,27,1,18,1,57,26,0.005174824928670634,103
Adagrad,29,2,27,1,39,18,0.002359419019402423,117
Adam,29,2,23,1,45,24,0.004378193397139301,35
Adam,20,1,23,2,47,31,0.007861460572271155,51
Adam,25,1,29,2,44,20,0.006289830944953,64
Adamax,28,1,20,1,61,28,0.00022321022544487555,112
Adagrad,18,2,19,1,46,26,0.007453664051828241,105
RMSprop,23,2,24,2,38,20,0.004547641442061835,54
Adagrad,16,2,19,2,37,23,0.007966199124710116,75
Adamax,25,1,17,1,32,24,0.007960993971874143,107
Adagrad,22,1,30,1,41,23,0.007857007897726526,54
RMSprop,24,2,29,1,41,25,0.008745165466527502,87
AdamW,26,1,25,2,55,21,0.0038881223390275104,125
AdamW,17,2,16,2,32,25,0.003020859018374604,83
AdamW,24,2,31,1,50,28,0.00559760722606796,66
Adagrad,30,2,20,2,32,23,0.0010807295683397992,66
RMSprop,27,2,17,2,39,21,0.002233266559997494,68
Adamax,19,2,19,1,34,27,0.0038229678598282477,75
Adamax,26,1,19,2,46,18,0.009375924267684382,111
Nadam,23,2,20,1,50,17,0.008550505073113328,80
Adagrad,21,2,21,2,41,26,0.0036919603072785323,34
Adagrad,19,1,27,2,62,21,0.004065396453159269,43
Adagrad,21,2,19,1,38,19,0.004109634928604751,121
RMSprop,28,1,22,1,63,30,0.002878401564108931,33
Adamax,26,1,29,1,54,22,0.009178422027527536,86
Adam,31,1,16,1,46,17,0.008598201935943814,116
Adagrad,24,2,20,2,48,27,0.007566727896751795,112
AdamW,22,2,26,1,36,22,0.0014528074213455886,78
Adamax,31,2,17,2,37,24,0.00014685945806892833,115
SGD,25,1,30,2,50,21,0.00424939109752878,114
RMSprop,26,2,22,2,41,17,0.0008253988037991028,71
Adadelta,16,2,19,1,35,28,0.006527666967633246,92
Adam,16,2,23,1,41,19,0.006456723823649388,76
RMSprop,18,2,17,1,47,17,0.0005348759474941367,109
SGD,16,2,17,2,46,20,0.009089604155528792,73
SGD,21,2,23,2,36,27,0.002745991933497569,95
Adam,16,2,31,2,44,31,0.005835341455884319,56
Adadelta,27,2,16,1,35,21,0.009409946680665951,98
Adagrad,21,1,24,1,36,31,0.0059120280394584935,120
RMSprop,17,2,27,2,36,29,0.007120654506506884,83
Adagrad,16,2,23,1,53,28,0.0007217656101213644,42
Adadelta,17,2,29,2,63,20,0.007873462301852551,110
Nadam,25,1,27,1,32,16,0.00811079797248298,63
Nadam,21,1,31,2,54,23,0.0037440785367242615,44
Adamax,27,2,17,2,51,28,0.007228225272425718,120
Adadelta,18,2,17,1,46,31,0.0012374235439162763,53
Adagrad,31,1,29,2,55,29,0.003437617646985097,118
Adagrad,16,2,16,2,45,28,0.004442617258787378,52
Adagrad,23,2,16,1,33,19,0.008778746204754473,67
Adamax,18,2,20,2,48,29,0.006395562778044314,103
Adam,17,2,27,2,62,18,0.00026160943528093716,45
SGD,20,1,26,1,54,25,0.0038772694105069423,111
Adamax,24,2,24,2,52,26,0.0025875793620472303,127
Nadam,18,2,19,1,52,26,0.006276260783034492,60
SGD,18,1,23,1,45,23,0.0055458726441738075,91
AdamW,31,2,29,2,42,20,0.007837847070434877,32
Adamax,30,2,31,2,63,24,0.005073075523133873,78
Adagrad,17,1,19,1,61,17,0.0010655746233236751,67
Adamax,29,1,25,1,59,21,0.00417430793744379,119
Adamax,24,1,23,2,46,27,0.006053537699422341,73
Adadelta,23,1,18,2,63,31,0.003517632913337777,75
SGD,20,2,18,1,33,23,0.007541625365637402,105
Adam,20,2,28,1,54,22,0.002708452345048573,49
AdamW,24,1,29,1,50,27,0.00974020488237214,69
SGD,24,1,16,1,40,22,0.0008260450755717085,52
Nadam,17,1,21,2,34,27,0.009698102015652117,79
RMSprop,28,1,28,2,62,29,0.006843816924254681,127
Adadelta,23,2,18,2,49,19,0.006082758281509895,46
Adam,22,2,24,2,46,27,0.008491490816526035,56
AdamW,23,1,31,2,48,31,0.005314655726610002,100
Adadelta,28,1,29,2,38,16,0.001956697110284928,123
Adam,28,2,23,2,34,27,0.00814468707212049,37
Adagrad,24,1,24,2,44,28,0.006268294947027711,74
Adamax,27,1,25,1,40,17,0.0017045761042103473,76
Adadelta,25,2,18,2,40,17,0.002246724162787487,48
Adagrad,23,2,30,2,44,23,0.008420073986090005,106
Nadam,17,2,22,1,47,23,0.008260160744263249,61
Adadelta,20,2,25,1,41,27,0.008162827676871513,110
Adagrad,21,2,17,2,47,16,0.00022454473243069414,53
Adam,31,2,28,1,49,23,0.0062846560664639025,106
AdamW,29,2,20,1,57,23,0.00906959158796875,104
Adagrad,21,2,24,1,47,21,0.001130981137880012,65
Adagrad,18,2,27,2,52,30,0.008465551080858683,109
RMSprop,30,1,25,2,56,19,0.00847638410283833,79
Adamax,23,1,26,1,37,19,0.003806741611417353,79
Adagrad,31,2,25,2,59,18,0.004486563486066585,100
Nadam,20,1,28,2,59,27,0.00290144758446227,83
SGD,19,1,26,2,51,24,0.009618686063959169,76
Adamax,23,1,21,1,60,18,0.0005619408160689597,92
RMSprop,30,2,18,2,40,26,0.003989982501352635,44
RMSprop,18,1,26,1,42,29,0.0004924732690466964,34
Adagrad,25,2,18,2,39,25,0.008856299694299692,61
RMSprop,27,1,25,1,63,31,0.0007386369010499405,35
SGD,26,2,19,2,55,23,0.007842351116637235,56
Adamax,17,1,22,1,55,17,0.009830047284786326,40
Nadam,16,2,21,2,32,24,0.0038332337774237765,67
SGD,31,1,20,1,52,31,0.00923775792660021,53
Nadam,29,2,23,1,52,20,0.00036750423746645817,97
AdamW,24,1,25,1,32,20,0.008036674007570003,120
Adagrad,26,2,23,2,44,20,0.004089801614146712,106
Adamax,29,2,21,1,46,17,0.00209881973101631,95
Adam,26,2,31,1,41,23,0.005970507955051078,85
SGD,22,2,19,1,52,20,0.00551914849117287,92
AdamW,25,2,25,2,36,24,0.0009293626656014802,99
Adadelta,27,1,19,2,43,17,0.0031735937291657566,115
Nadam,17,2,17,1,54,30,0.0020060972620193373,114
Nadam,16,2,30,2,51,31,0.009650503161012585,57
Adadelta,19,1,21,1,33,28,0.00830424128392281,62
SGD,27,1,24,1,53,29,0.005252098292442728,68
RMSprop,26,1,24,1,60,20,0.001304600045116473,78
Adadelta,30,1,24,1,41,31,0.00045229427740554743,100
SGD,31,1,19,2,46,27,0.0017881247936113274,114
Adamax,21,2,25,2,45,17,0.007752739840361354,70
Adagrad,30,2,23,1,37,23,0.005666487940332948,122
Adagrad,18,1,22,2,55,22,0.00904335503383119,82
Adagrad,24,2,30,2,34,30,0.004838211975944534,115
