Name,Convoluted_Layers1,Convoluted_Filters1,Convoluted_Layers2,Convoluted_Filters2,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size
Adadelta,24,2,28,1,57,20,0.007410647216348527,70
Nadam,29,2,18,1,56,21,0.003357801883730184,34
Nadam,23,1,18,2,40,21,0.006206681407310212,71
Adam,27,2,19,1,37,30,0.008464303707291931,98
Adadelta,20,2,27,2,35,17,0.00501000187964102,46
RMSprop,29,2,18,1,42,30,0.0031275995272171094,59
Nadam,18,1,24,1,42,18,0.006351198671792406,54
SGD,22,2,16,2,47,17,0.0014573662995828864,74
Adamax,28,1,29,2,48,31,0.003532645043658396,120
Adagrad,18,1,26,2,41,31,0.0009404737312942012,81
Adamax,22,2,26,2,58,24,0.008540307992745338,49
AdamW,24,1,31,1,39,29,0.003300400518329496,43
Adamax,31,1,25,2,32,24,0.0009194810043583284,36
Adagrad,18,1,23,1,57,20,0.0024270569834719683,125
Adam,26,2,22,1,41,29,0.006318046587594036,105
RMSprop,30,2,26,2,36,22,0.009985870539567593,86
RMSprop,17,1,23,1,59,23,0.003815926376927068,100
AdamW,29,1,27,2,57,16,0.007909114535020726,58
Adadelta,16,2,25,2,39,31,0.005922625152304266,32
Adam,26,1,19,2,40,22,0.0018256963566072538,71
Adadelta,28,2,21,1,52,28,0.002614565588909536,120
Adamax,27,2,18,1,32,21,0.0004232719237615686,64
RMSprop,26,1,31,1,61,28,0.0007070254709090095,67
Adadelta,30,1,22,1,42,18,0.009638128230508993,113
Adagrad,27,1,18,1,38,21,0.00980501552479809,127
SGD,31,1,24,2,43,27,0.0005796230561654279,90
SGD,20,1,27,2,57,30,0.003208900138278188,121
Adagrad,21,1,25,1,42,30,0.0023779407831151307,86
SGD,23,2,17,1,34,16,0.0069729397027592736,78
Adamax,31,2,16,2,50,30,0.0011437561794977822,111
RMSprop,18,1,25,1,56,19,0.006083352203672522,52
Nadam,18,2,26,1,47,16,0.007698005625487296,37
AdamW,29,2,31,1,46,22,0.0037193146101560043,96
Nadam,18,1,29,2,42,26,0.007544918117462263,121
Adamax,27,2,30,2,34,25,0.0030139339378384817,53
Adamax,24,1,16,2,33,17,0.008187282661071363,56
Adagrad,17,1,30,1,41,22,0.006000418875677649,111
Adagrad,18,2,21,1,47,20,0.005382227227445711,42
Adadelta,27,1,29,2,32,19,0.009953310319540153,80
Adadelta,29,1,17,2,61,17,0.0035338617679959716,116
RMSprop,17,1,29,2,37,28,0.007308221721012915,101
Adam,18,1,18,1,40,27,0.00934491598305422,84
Adadelta,22,2,31,1,61,19,0.007213589496104925,80
Nadam,23,2,20,1,34,24,0.00016930538533886956,70
Adam,26,1,23,2,52,18,0.0035981337468982658,69
Adagrad,22,1,20,2,41,23,0.005416776688134715,32
Adadelta,28,1,18,2,33,27,0.005542262584445273,108
Adam,27,2,31,1,32,20,0.0038074764374945195,114
Nadam,17,1,20,2,59,23,0.008218058869178544,75
Adagrad,24,2,17,1,56,29,0.0021779255827227713,57
Adam,31,1,31,1,46,29,0.009903338989789236,37
RMSprop,24,2,26,2,38,16,0.005481219487253225,121
Adam,16,2,28,2,61,26,0.0020172211221868436,35
SGD,21,1,26,2,48,31,0.0099554956486816,82
RMSprop,25,2,18,1,54,16,0.008013188974795565,48
Adam,24,1,24,1,41,20,0.00041703580084503526,35
Adam,20,2,25,2,41,21,0.005698447664427141,87
Adadelta,17,2,25,1,42,22,0.009921814019922323,118
Adam,29,2,20,1,38,31,0.003741758495910137,99
Adam,25,1,16,2,59,21,0.0030443236446821083,89
Adamax,30,2,23,1,47,16,0.0011595771487971664,46
Adam,26,2,28,2,42,23,0.007370885539037244,121
Adam,29,1,18,1,40,25,0.0025669395053258552,87
Adam,28,1,16,1,52,19,0.008379398021912579,125
RMSprop,31,1,17,1,52,31,0.006929441607364402,63
Nadam,29,2,18,2,60,18,0.006503088331605107,76
Nadam,17,1,21,1,32,25,0.002309705665470262,93
Nadam,28,1,17,2,56,16,0.007127127786936927,81
AdamW,16,2,25,2,52,22,0.009234023397014212,43
Nadam,24,2,22,1,33,25,0.0021066502912416656,47
SGD,27,1,24,1,60,31,0.005071191292907319,100
Adadelta,24,1,31,1,46,16,0.0057872160633938375,86
Adamax,18,1,27,1,47,18,0.009051712467569473,63
Adagrad,22,1,17,2,38,16,0.007054593116952833,77
Nadam,16,1,28,1,55,30,0.0009655969038192009,105
Adamax,22,1,29,1,33,21,0.009988774239015554,76
AdamW,22,1,31,2,37,24,0.002263773985467127,91
Adamax,17,2,17,2,39,26,0.0072163508926486744,77
Nadam,25,1,31,2,45,31,0.006494679313356297,33
Adamax,28,2,29,1,39,25,0.006098810027515884,77
RMSprop,26,1,24,2,52,19,0.008084842011369895,105
Adam,26,1,16,2,39,16,0.00334815101708737,89
Adamax,31,1,23,1,63,24,0.00012279458542475017,56
Adam,20,2,25,2,54,30,0.002671548069515074,41
Adadelta,29,2,31,1,42,20,0.0022472275431474377,122
Adadelta,20,2,30,1,50,28,0.0009926517887763704,125
Adam,29,2,30,2,41,21,0.002562719030210815,62
Adadelta,18,1,27,2,53,27,0.004499260821220826,118
AdamW,30,2,27,2,51,24,0.0024087686501067435,102
AdamW,30,1,17,2,51,19,0.008936421360982445,100
Nadam,21,2,27,1,33,23,0.006446347899595138,98
Adam,22,2,24,2,61,17,0.00044406841456021064,115
Adagrad,18,2,28,1,58,27,0.002866736902867444,33
Adam,17,2,28,2,63,20,0.0028789764780696612,86
AdamW,22,1,30,2,54,25,0.0036057169927463466,99
SGD,25,1,16,1,45,29,0.009492110509748134,77
RMSprop,28,1,18,1,50,27,0.0021246528592690334,96
Nadam,31,1,28,2,40,17,0.0047651637593743214,120
Adamax,21,1,16,2,35,27,0.004911211891269593,59
Adam,22,2,24,1,35,19,0.008962346619117037,63
RMSprop,20,1,26,1,41,27,0.002424956225416545,61
Adagrad,24,1,24,1,55,24,0.007320234286634092,95
Adamax,22,1,24,2,38,16,0.0015350110391899603,122
Nadam,22,2,30,1,37,31,0.0012751601793427568,43
Adamax,20,1,25,2,52,29,0.0017155461788008108,65
Adamax,21,1,19,2,52,28,0.0021231680584993824,69
Nadam,21,1,16,1,54,18,0.004268446391340595,74
Adagrad,16,2,24,1,57,30,0.004077039818938048,36
Adam,27,1,29,1,36,19,0.0010858360076368375,101
Nadam,20,1,27,2,58,24,0.001167519008264946,100
Adadelta,18,2,26,2,46,26,0.0015568043226171881,110
Nadam,19,2,29,1,33,30,0.008054930251835783,86
Adadelta,20,1,28,2,44,23,0.004733172162912852,115
AdamW,21,2,27,2,37,29,0.005274654884266108,104
Adam,30,2,25,2,34,21,0.0009729752028544248,67
AdamW,23,2,25,1,44,31,0.006718838830030393,68
Adagrad,24,1,26,2,47,25,0.008601940238537649,33
SGD,17,2,19,2,44,20,0.007592056183094476,50
AdamW,29,1,17,1,35,31,0.008131874876585244,89
Adam,30,2,18,1,63,31,0.00943960213772653,124
Adadelta,17,2,16,1,42,25,0.005530124738772609,84
