Name,Convoluted_Layers1,Convoluted_Filters1,Convoluted_Layers2,Convoluted_Filters2,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size
Adamax,24,1,18,1,37,23,0.0026976876215151274,100
RMSprop,18,1,29,2,43,26,0.0049943110827059,109
Adadelta,23,2,17,2,52,25,0.0006157848312305418,82
Adagrad,26,1,27,2,46,18,0.006326207847813126,116
SGD,25,1,29,2,63,21,0.0018529738661845166,118
Nadam,30,1,31,2,32,24,0.005434675253384387,44
Nadam,20,2,29,2,35,30,0.0012929064105942363,80
Adagrad,23,2,30,2,55,23,0.008677725152684005,51
RMSprop,24,2,28,1,44,24,0.00937989136980885,88
RMSprop,29,2,16,2,34,24,0.008342826525800031,57
Adagrad,24,1,16,1,44,16,0.002709143241907096,117
Adagrad,25,1,16,2,56,16,0.002276667886853264,51
Adam,29,2,17,1,49,25,0.0020302658323478376,82
Adagrad,26,1,18,1,61,25,0.006116579037366159,64
Adadelta,30,2,20,1,42,25,0.0005510254969948812,52
Adadelta,30,2,26,2,49,21,0.0032650117367430884,39
Adam,23,1,30,2,46,21,0.002375632601656313,44
SGD,26,2,28,1,56,18,0.00494472725872571,90
Adam,26,1,16,2,32,27,0.0017323362922722892,51
Adadelta,16,1,19,1,45,17,0.006193456355655514,49
RMSprop,22,2,31,1,56,24,0.001517884494226601,125
AdamW,28,2,29,1,46,23,0.002358458199323576,37
Adadelta,28,2,24,2,32,18,0.004251833682428565,67
Adadelta,20,1,30,1,40,21,0.005021351125298662,102
Adamax,31,2,30,2,38,19,0.005538439124803379,124
RMSprop,21,2,29,2,53,22,0.00572518735807055,62
Adadelta,21,2,26,2,43,26,0.0005551947389706192,121
Adagrad,16,2,23,1,57,21,0.0010061935972380518,45
AdamW,20,2,23,1,34,30,0.0010695149065820995,80
RMSprop,27,2,17,1,52,25,0.009485983268789917,74
RMSprop,29,2,22,1,61,18,0.0012847073628131265,70
Adagrad,23,1,16,1,34,19,0.008342894456586501,79
Adam,19,1,17,1,40,16,0.0007959229905914247,121
Nadam,23,2,29,2,37,16,0.0016712837745636807,65
AdamW,28,1,26,1,35,18,0.00015579399293335285,112
Adamax,20,1,28,2,54,18,0.003255606270606407,105
RMSprop,20,2,30,2,33,27,0.0015107038164010136,41
Adamax,29,2,20,2,55,22,0.0012867894025793331,105
Adadelta,26,2,20,1,43,25,0.002336036295652718,118
Nadam,31,1,24,2,38,16,0.0016063004243599469,34
Adam,28,1,30,1,60,25,0.0041245120178494046,65
SGD,18,2,18,1,56,19,0.008686091367910539,112
Nadam,28,1,21,1,56,28,0.009246610889067879,43
Adamax,22,2,28,1,48,24,0.00585166112442226,37
AdamW,29,1,20,2,63,31,0.0035602761108988216,110
Nadam,29,2,29,1,51,25,0.0006111568309512847,121
Adamax,24,1,23,2,52,22,0.002443681979347199,89
AdamW,24,2,20,2,55,25,0.007471757472452468,84
Adagrad,29,2,24,2,59,31,0.0066837670270554405,84
Nadam,22,1,16,2,60,31,0.001876841546026459,84
RMSprop,23,2,30,2,43,27,0.007368424778559794,121
Adadelta,29,1,21,1,49,21,0.003075284960232075,36
AdamW,24,1,17,2,58,26,0.0015526230565964256,57
Nadam,26,1,31,1,47,24,0.008802397665855884,115
Adadelta,18,1,22,1,59,24,0.008168282784799774,100
Adagrad,19,2,21,1,61,31,0.009620845904116387,52
SGD,19,1,16,1,36,21,0.00837786539925265,95
RMSprop,28,1,30,2,61,20,0.009648753184145226,46
Adamax,25,2,26,1,35,24,0.0035158216406216045,116
Adamax,26,1,16,1,54,17,0.004890240601751582,112
RMSprop,25,1,22,2,43,18,0.001448738690539281,98
Nadam,27,2,17,2,53,23,0.0040505093494450665,79
Nadam,30,2,22,1,33,29,0.0004258291169735813,70
Adam,20,1,31,1,35,26,0.0015861304204580434,52
AdamW,22,1,18,2,41,29,0.00463801957270595,117
Adadelta,29,1,20,1,62,31,0.0005764532795311609,50
Adagrad,16,2,31,1,44,27,0.007585929015341492,106
AdamW,24,2,26,2,38,17,0.008809621417225634,88
Adam,19,2,17,2,43,22,0.009334104346371884,39
Adadelta,16,2,18,2,58,18,0.008906147370056058,118
Nadam,25,1,22,1,45,24,0.004024454599605095,123
SGD,29,1,31,2,61,25,0.008160797237268732,120
