Name,Convoluted_Layers1,Convoluted_Filters1,Convoluted_Layers2,Convoluted_Filters2,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Best_Value
Adam,22,3,28,3,35,11,0.01,105,-0.3534684435735143
AdamW,25,3,32,3,64,29,0.01,104,-0.3510642041921148
Adadelta,28,3,32,3,58,23,0.01,58,-0.33178075079124814
Adadelta,32,3,25,3,64,26,0.01,41,-0.3504655701723877
Adam,23,3,32,3,63,27,0.01,126,-0.3519687036382075
RMSprop,32,3,12,3,64,31,0.01,109,-0.35198875936374385
AdamW,28,3,22,3,62,28,0.01,98,-0.3461207628658386
Adam,25,3,31,3,47,25,0.01,128,-0.3536538116348922
AdamW,29,3,32,3,64,29,0.01,128,-0.35311225060185186
RMSprop,32,3,27,3,33,26,0.01,99,-0.3526053948944024
AdamW,29,3,26,3,62,23,0.01,62,-0.34454160347530927
Adadelta,22,3,32,3,64,26,0.01,99,-0.3427215495762917
SGD,20,3,19,3,64,23,0.01,128,-0.3520993030106044
Adam,32,3,23,3,38,26,0.01,60,-0.35406642815407896
Adam,32,3,23,3,64,26,0.01,48,-0.354450804185974
Adam,32,3,32,2,51,31,0.01,69,-0.3512573962564943
Adadelta,25,3,32,2,47,32,0.01,113,-0.3526568801519859
RMSprop,26,3,32,3,64,26,0.01,114,-0.3528103981675974
AdamW,31,3,27,2,51,25,0.01,128,-0.3529387423094633
Adam,25,3,28,3,47,20,0.01,102,-0.3420932974406435
