Name,Convoluted_Layers1,Convoluted_Filters1,Convoluted_Layers2,Convoluted_Filters2,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Best_Value
Adam,28,3,24,3,61,30,0.01,73,-0.34357911100802485
AdamW,32,3,29,3,55,25,0.01,128,-0.3516613246629106
AdamW,26,3,32,3,60,26,0.01,128,-0.3525199802893141
AdamW,32,3,26,3,64,22,0.01,119,-0.34877815138226087
Adadelta,32,3,32,3,64,29,0.01,99,-0.35361559729442915
AdamW,31,3,26,3,45,32,0.01,128,-0.35281013931877586
SGD,31,3,32,3,53,28,0.01,95,-0.3495918069044904
Adam,27,3,26,3,43,32,0.01,76,-0.35789596995123785
AdamW,23,3,32,3,64,31,0.01,83,-0.35576100121417026
Adam,30,3,32,3,64,32,0.01,115,-0.35343213723416467
Adam,30,3,32,2,64,29,0.01,46,-0.34644714659428144
Adam,19,3,32,3,64,32,0.01,128,-0.35357771374215685
RMSprop,32,3,29,2,49,23,0.01,96,-0.35014505623751346
Adam,32,3,19,3,45,25,0.01,77,-0.3534965346193374
Adadelta,32,3,32,3,58,29,0.01,128,-0.35148174896517215
AdamW,23,3,32,3,59,26,0.01,51,-0.35453783397144206
Adam,30,3,30,3,40,23,0.01,54,-0.3507821537235228
RMSprop,27,3,32,3,64,32,0.01,103,-0.35234622097671997
Adam,32,3,26,3,45,24,0.01,91,-0.3521353573904069
RMSprop,32,2,32,3,64,32,0.01,114,-0.34718009127140215
