Name,Convoluted_Layers1,Convoluted_Filters1,Convoluted_Layers2,Convoluted_Filters2,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Best_Value
AdamW,18,3,30,3,64,24,0.01,128,-0.35113196498426563
Adadelta,28,3,27,3,40,30,0.01,97,-0.3496923683175293
Adam,25,3,32,3,64,25,0.01,63,-0.35099384228970243
AdamW,29,3,27,2,64,30,0.01,54,-0.35170282964883204
RMSprop,32,2,25,2,64,32,0.01,98,-0.34327667917710636
AdamW,27,3,24,3,56,32,0.01,62,-0.3511222546264501
AdamW,32,3,30,3,45,25,0.01,126,-0.3522492351469439
Adam,32,2,17,3,45,32,0.01,112,-0.3529448424235027
Adadelta,26,3,20,3,63,31,0.01,78,-0.3540514697205696
Adam,29,3,27,3,64,32,0.01,17,-0.3529196036922194
Adadelta,21,3,24,3,58,19,0.01,128,-0.3413918767534621
Adam,30,3,32,3,57,29,0.01,98,-0.3448797829457907
Adam,23,3,30,3,64,24,0.01,60,-0.3553492155263927
AdamW,30,3,32,3,45,25,0.01,86,-0.35293865767223226
RMSprop,29,3,22,3,41,32,0.01,68,-0.3550772997575501
Adam,32,3,31,2,48,32,0.01,76,-0.3532600994926616
RMSprop,28,3,21,3,64,32,0.01,59,-0.3547403447098821
Adam,20,3,32,3,57,32,0.01,94,-0.35278805138691555
Adadelta,32,3,28,3,42,23,0.01,87,-0.35190803622299277
RMSprop,30,3,27,3,51,28,0.01,128,-0.3507638228703678
