Name,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Best_Value
Ftrl,37,23,0.01,52,-0.3310860089920741
Nadam,45,32,0.01,62,-0.34600581480728354
Nadam,64,22,0.01,123,-0.33698464160917085
Ftrl,59,30,0.01,100,-0.3473534635538202
Ftrl,41,32,0.01,97,-0.34983684253801
Adamax,49,21,0.01,120,-0.33366524143658827
Nadam,64,28,0.01,90,-0.339068660634839
Nadam,64,32,0.01,128,-0.3402947635822243
Ftrl,64,24,0.01,77,-0.3394749269880304
Adamax,61,32,0.01,124,-0.3500357853984388
Adam,48,32,0.01,128,-0.33716224650202775
Nadam,64,24,0.01,58,-0.3398995161627475
Adadelta,44,21,0.01,118,-0.3509510155731673
Nadam,64,27,0.01,79,-0.3296085015512824
Adagrad,49,32,0.01,125,-0.35216847659311384
Ftrl,45,28,0.01,115,-0.34699943894084134
Ftrl,62,32,0.01,64,-0.3403829282531047
Ftrl,59,28,0.01,82,-0.34676293603001385
Adadelta,39,26,0.01,65,-0.32842395270868646
Adadelta,52,32,0.01,107,-0.3383382072628705
