Name,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Best_Value
Ftrl,64,32,0.01,97,-0.3364453971285485
Ftrl,50,24,0.01,85,-0.33343578079769803
Adadelta,42,27,0.01,128,-0.34526999881516207
Ftrl,64,23,0.01,106,-0.34809236446086417
Ftrl,59,32,0.01,109,-0.3502003316092797
Adadelta,46,32,0.01,128,-0.3383776567216934
AdamW,64,27,0.01,128,-0.3476466514978427
Adadelta,42,31,0.01,125,-0.34093213119426036
AdamW,30,31,0.01,97,-0.34010029291857596
Ftrl,64,32,0.01,114,-0.3417152149300216
Ftrl,60,32,0.01,98,-0.3382758761928127
Ftrl,46,30,0.01,118,-0.3234363585811951
Adadelta,31,21,0.01,125,-0.3388063027208029
Adam,47,28,0.01,88,-0.3502807668885155
Adamax,62,21,0.01,91,-0.3501464695034552
Ftrl,56,31,0.01,86,-0.33684692232888813
Adam,60,22,0.01,79,-0.34517667973809013
Adadelta,45,27,0.01,120,-0.3378161145669217
Ftrl,49,25,0.01,99,-0.34951439055669
Ftrl,64,28,0.01,74,-0.3483030560022512
