Name,Convoluted_Layers1,Convoluted_Filters1,Convoluted_Layers2,Convoluted_Filters2,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Best_Value
Adadelta,29,3,32,3,55,18,0.01,128,-0.3546445770014023
RMSprop,30,1,32,3,47,29,0.01,77,-0.3429454829809151
Adam,32,3,24,3,52,31,0.01,38,-0.3406359124513823
Adam,28,3,21,3,64,31,0.01,66,-0.35408977044455114
RMSprop,24,3,24,3,43,21,0.01,75,-0.3552230604050615
RMSprop,28,3,18,3,58,32,0.01,128,-0.3557841760927808
Adam,23,3,32,3,47,30,0.01,91,-0.35276691707839675
Adadelta,28,3,21,3,48,27,0.01,106,-0.35151338283156325
AdamW,32,3,25,3,56,32,0.01,69,-0.3499966843649754
AdamW,32,3,24,2,64,30,0.01,73,-0.3469075741456663
Adadelta,32,2,26,3,60,26,0.01,90,-0.3485624948497652
Adam,32,3,32,3,63,21,0.01,85,-0.3445745334288194
Adam,29,3,29,3,51,23,0.01,128,-0.345509935173296
AdamW,29,2,27,3,55,32,0.01,128,-0.3522995361839656
Adam,32,3,20,3,25,29,0.01,93,-0.34154052293951487
Adadelta,21,3,32,3,53,28,0.01,123,-0.34677384718584026
RMSprop,32,3,25,3,64,32,0.01,128,-0.3535914450600923
Adadelta,32,3,21,3,48,31,0.01,85,-0.35544151706841226
Adam,23,3,32,3,49,27,0.01,64,-0.3334521200872229
AdamW,24,2,24,3,53,30,0.01,128,-0.3539271542186183
