Name,Convoluted_Layers1,Convoluted_Filters1,Convoluted_Layers2,Convoluted_Filters2,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Best_Value
Adam,29,3,32,3,57,25,0.01,101,-0.347790579584969
AdamW,32,3,32,3,61,22,0.01,84,-0.3519899725944085
RMSprop,32,3,32,3,42,32,0.01,116,-0.35328488232670124
Adagrad,32,3,26,3,64,32,0.01,51,-0.34441952779570995
SGD,28,3,24,3,49,32,0.01,64,-0.34189142085432295
SGD,32,2,30,3,64,32,0.01,40,-0.35498517767533977
Adam,23,3,32,3,61,22,0.01,128,-0.3514457426122213
RMSprop,32,3,24,3,59,28,0.01,128,-0.34775910819493905
Adam,32,2,29,3,64,25,0.01,128,-0.3420734948082196
AdamW,27,3,32,3,47,19,0.01,42,-0.34896804542937143
Adadelta,25,3,16,2,53,21,0.01,79,-0.3385679890097886
RMSprop,20,3,32,3,50,31,0.01,93,-0.34926017385791025
RMSprop,21,3,29,3,62,32,0.01,50,-0.3507262108157349
RMSprop,32,3,8,3,45,23,0.01,97,-0.3543157379497964
Adam,26,3,32,3,48,32,0.01,72,-0.35171098400159195
AdamW,23,3,32,3,64,32,0.01,99,-0.34445661119515936
Adam,21,3,21,3,62,31,0.01,104,-0.3527334832805974
Adadelta,31,3,23,3,63,32,0.01,84,-0.3548274766634305
AdamW,26,3,32,3,37,24,0.01,54,-0.354030068191088
Adam,31,2,30,3,50,21,0.01,128,-0.35637063586152745
