Name,Convoluted_Layers1,Convoluted_Filters1,Convoluted_Layers2,Convoluted_Filters2,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Best_Value
SGD,32,3,24,3,64,32,0.01,56,-0.3557947220961676
AdamW,32,3,31,3,64,22,0.01,30,-0.34510085857102235
Adam,32,3,21,3,52,32,0.01,80,-0.3527188243100256
RMSprop,26,3,22,3,64,21,0.01,63,-0.3538644345153663
Adadelta,32,3,31,3,53,32,0.01,128,-0.33664185703757343
Adam,32,3,32,3,51,22,0.01,75,-0.3567453477562199
Adadelta,28,3,28,2,64,28,0.01,126,-0.34314551991186126
RMSprop,30,2,12,3,64,31,0.01,62,-0.352163057113462
Adam,24,3,32,3,51,24,0.01,16,-0.3344996856534659
AdamW,28,3,32,3,47,32,0.01,57,-0.3506634963865211
RMSprop,26,3,29,3,64,19,0.01,58,-0.35467149076224314
Adam,32,3,22,3,29,24,0.01,128,-0.3492734695006218
Adagrad,24,3,32,3,53,32,0.01,100,-0.351620311322152
Adagrad,32,2,32,3,62,22,0.01,44,-0.35350140357383475
Adam,21,3,30,3,64,31,0.01,23,-0.34272607899770535
Adam,26,3,31,3,58,32,0.01,99,-0.34539464639098993
AdamW,32,3,32,3,61,24,0.01,117,-0.3435835573722051
SGD,28,3,32,3,55,27,0.01,102,-0.3529198211186822
RMSprop,21,3,31,3,64,29,0.01,61,-0.3529162970310053
AdamW,25,3,30,3,45,30,0.01,60,-0.3527487779759391
