Name,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Best_Value
Ftrl,53,18,0.01,106,-0.35292338584389743
Adadelta,44,32,0.01,98,-0.3457500392817326
Nadam,53,32,0.01,80,-0.33841463314609094
AdamW,58,32,0.01,128,-0.3294660930359788
AdamW,37,32,0.01,128,-0.33400812597292495
Adamax,40,27,0.01,128,-0.34259518313287685
Ftrl,64,17,0.01,97,-0.3423631934371766
Ftrl,56,32,0.01,128,-0.3391323552994084
Adadelta,61,32,0.01,128,-0.34492881904733735
Adamax,58,31,0.01,111,-0.3499527652693967
SGD,64,31,0.01,105,-0.34695556797497057
Ftrl,54,31,0.01,61,-0.33781192189205717
Adagrad,64,29,0.01,128,-0.34948615457718607
Ftrl,32,27,0.01,128,-0.33894893565054957
Ftrl,54,26,0.01,21,-0.3365909586547935
Ftrl,45,27,0.01,90,-0.34727852521194275
Adadelta,53,32,0.01,113,-0.3471176540495891
Nadam,50,32,0.01,114,-0.341207818828309
Ftrl,63,28,0.01,108,-0.3475439763439791
Adadelta,49,26,0.01,71,-0.34196975903625576
