Name,Convoluted_Layers1,Convoluted_Filters1,Convoluted_Layers2,Convoluted_Filters2,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size
SGD,23,1,30,1,39,28,0.005651741468734743,96
Adadelta,31,2,22,2,55,20,0.0007017414687347408,48
Adamax,19,2,26,1,63,24,0.003176741468734741,72
Adam,27,1,18,2,47,16,0.008126741468734742,120
AdamW,29,1,20,2,51,18,0.009364241468734743,36
Nadam,21,2,28,1,35,26,0.004414241468734741,84
Adagrad,17,2,24,1,59,22,0.0019392414687347409,60
RMSprop,25,1,16,2,43,30,0.006889241468734743,108
Adam,26,1,17,2,45,31,0.007507991468734742,114
Adamax,18,2,25,1,61,23,0.0025579914687347406,66
SGD,22,2,29,1,37,27,0.005032991468734742,90
Adadelta,30,1,21,2,53,19,0.009982991468734742,42
AdamW,28,1,19,2,49,17,0.008745491468734741,126
Nadam,20,2,27,1,33,25,0.003795491468734741,78
Adagrad,16,2,23,1,57,21,0.001320491468734741,54
RMSprop,24,1,31,2,41,29,0.006270491468734742,102
RMSprop,25,1,16,2,42,30,0.006579866468734742,105
Adagrad,17,2,24,1,58,22,0.001629866468734741,57
Nadam,21,2,28,1,34,26,0.0041048664687347415,81
AdamW,29,1,20,2,50,18,0.009054866468734742,33
Adadelta,31,1,22,2,54,20,0.0003923664687347407,45
SGD,23,2,30,1,38,28,0.005342366468734741,93
Adamax,19,2,26,1,62,24,0.002867366468734741,69
Adam,27,1,18,2,46,16,0.007817366468734743,117
RMSprop,26,1,17,2,44,31,0.0071986164687347426,111
Adagrad,18,2,25,1,60,23,0.002248616468734741,63
Nadam,22,2,29,1,36,27,0.004723616468734741,87
AdamW,30,1,21,2,52,19,0.009673616468734741,39
Adam,28,1,19,2,48,17,0.008436116468734742,123
Adamax,20,2,27,1,32,25,0.0034861164687347407,75
Adadelta,16,2,23,1,56,21,0.0010111164687347407,51
SGD,24,1,31,2,40,29,0.005961116468734743,99
SGD,24,1,31,2,40,29,0.006115803968734743,100
Adadelta,16,2,23,1,56,21,0.0011658039687347408,52
Adamax,20,2,27,1,32,25,0.0036408039687347406,76
Adam,28,1,19,2,48,17,0.008590803968734743,124
AdamW,30,1,21,2,52,19,0.009828303968734742,40
Nadam,22,2,29,1,36,27,0.004878303968734741,88
Adagrad,18,2,25,1,60,23,0.0024033039687347407,64
RMSprop,26,1,17,2,44,31,0.007353303968734743,112
Adam,27,1,18,2,46,16,0.007972053968734742,118
Adamax,19,2,26,1,62,24,0.0030220539687347407,70
SGD,23,1,30,1,38,28,0.005497053968734742,94
Adadelta,31,2,22,2,54,20,0.0005470539687347408,46
AdamW,29,1,20,2,50,18,0.009209553968734742,34
Nadam,21,2,28,1,34,26,0.004259553968734741,82
Adagrad,17,2,24,1,58,22,0.0017845539687347408,58
RMSprop,25,1,16,2,42,30,0.0067345539687347425,106
RMSprop,24,1,31,2,41,30,0.006425178968734743,103
Adagrad,16,2,23,1,57,22,0.0014751789687347408,55
Nadam,20,2,27,1,33,26,0.003950178968734741,79
AdamW,28,1,19,2,49,18,0.008900178968734742,127
Adadelta,30,1,21,2,53,20,0.0002376789687347407,43
SGD,22,2,29,1,37,28,0.005187678968734741,91
Adamax,18,2,25,1,61,24,0.002712678968734741,67
Adam,26,1,17,2,45,16,0.007662678968734743,115
RMSprop,25,1,16,2,43,31,0.007043928968734742,109
Adagrad,17,2,24,1,59,23,0.0020939289687347405,61
Nadam,21,2,28,1,35,27,0.004568928968734742,85
