Name,Convoluted_Layers1,Convoluted_Filters1,Convoluted_Layers2,Convoluted_Filters2,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Best_Value
Adam,24,3,30,2,64,32,0.01,44,-0.3333120992843132
AdamW,32,2,27,3,61,24,0.01,128,-0.3472438092992802
RMSprop,31,2,32,3,63,30,0.01,50,-0.35088124675346655
AdamW,32,3,32,3,64,26,0.01,128,-0.35002311128650443
AdamW,30,3,20,3,54,21,0.01,122,-0.35267086512785206
AdamW,32,3,32,3,58,26,0.01,74,-0.3484794258003932
Adam,24,3,30,3,64,31,0.01,125,-0.35690992966424534
RMSprop,27,3,24,3,44,19,0.01,47,-0.3467080675337393
RMSprop,31,2,19,3,64,31,0.01,40,-0.35223167688839246
Adadelta,22,3,21,3,59,32,0.01,121,-0.3521697054500992
AdamW,20,3,23,3,64,32,0.01,113,-0.3537983695841657
Adam,29,3,28,3,57,26,0.01,73,-0.3417461768521638
Adadelta,32,3,32,3,64,26,0.01,92,-0.3439754119974631
AdamW,32,3,27,3,40,31,0.01,99,-0.3446768395440011
AdamW,18,3,32,3,64,24,0.01,128,-0.3483370985730892
Adam,26,3,20,3,57,32,0.01,78,-0.3508009883774882
RMSprop,30,1,29,3,52,24,0.01,82,-0.3476357960083225
Adam,22,3,25,3,64,21,0.01,54,-0.3357388064737895
AdamW,31,2,32,3,47,28,0.01,128,-0.34820398836385935
Adam,24,3,23,3,61,26,0.01,82,-0.35046660941139957
