Name,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Best_Value
Adagrad,60,18,0.01,122,0.004775881190446541
Adagrad,46,22,0.01,54,0.028137944587120538
Adagrad,42,30,0.01,42,0.0006645733456905349
Adamax,46,26,0.01,117,0.003512003144831622
Adamax,46,22,0.01,66,0.015316132187258512
Adam,44,30,0.01,49,0.09388001039908174
Adadelta,61,28,0.01,57,0.06258080387019273
Adam,63,27,0.01,77,0.10354466823576042
Adagrad,40,20,0.01,55,0.031728744497907746
Adam,33,26,0.01,49,0.0
Adadelta,43,28,0.01,68,0.10338691852234766
Adagrad,38,29,0.01,50,0.0019352743730424152
Adagrad,34,30,0.01,52,0.004346555717268027
Adagrad,37,19,0.01,70,0.0
Adadelta,42,18,0.01,92,0.0023457512289954277
Adamax,64,30,0.01,82,0.0005408335105369757
Nadam,44,22,0.01,69,0.003509957405133413
Adamax,50,17,0.01,61,0.0625859490163087
AdamW,53,28,0.01,107,0.10642284609098455
Adamax,50,19,0.01,67,0.0
